Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)
((1, 16), (2, 52), (55))
((1, 16), (2, 53), (53))
((1, 16), (2, 6), (80))
((1, 16), (2, 8), (81))
((1, 17), (2, 1), (85))
((1, 17), (2, 11), (69))
((1, 17), (2, 19), (37))
((1, 17), (2, 2), (84))
((1, 17), (2, 20), (38))
((1, 17), (2, 24), (26))
((1, 17), (2, 26), (24))
((1, 17), (2, 28), (6))
((1, 17), (2, 30), (1))
((1, 17), (2, 31), (3))
((1, 17), (2, 32), (4))
((1, 17), (2, 33), (6))
((1, 17), (2, 39), (33))
((1, 17), (2, 44), (37))
((1, 17), (2, 45), (36))
((1, 17), (2, 48), (46))
((1, 17), (2, 49), (50))
((1, 17), (2, 50), (48))
((1, 17), (2, 52), (55))
((1, 17), (2, 53), (53))
((1, 17), (2, 6), (80))
((1, 17), (2, 8), (81))
((1, 18), (2, 1), (100))
((1, 18), (2, 11), (84))
((1, 18), (2, 19), (52))
((1, 18), (2, 2), (99))
((1, 18), (2, 20), (53))
((1, 18), (2, 24), (41))
((1, 18), (2, 26), (39))
((1, 18), (2, 28), (21))
((1, 18), (2, 30), (16))
((1, 18), (2, 31), (12))
((1, 18), (2, 32), (11))
((1, 18), (2, 33), (9))
((1, 18), (2, 39), (18))
((1, 18), (2, 44), (22))
((1, 18), (2, 45), (21))
((1, 18), (2, 48), (31))
((1, 18), (2, 49), (35))
((1, 18), (2, 50), (33))
((1, 18), (2, 52), (40))
((1, 18), (2, 53), (38))
((1, 18), (2, 6), (95))
((1, 18), (2, 8), (96))
((1, 19), (2, 1), (97))
((1, 19), (2, 11), (81))
((1, 19), (2, 19), (49))
((1, 19), (2, 2), (96))
((1, 19), (2, 20), (50))
((1, 19), (2, 24), (38))
((1, 19), (2, 26), (36))
((1, 19), (2, 28), (18))
((1, 19), (2, 30), (13))
((1, 19), (2, 31), (9))
((1, 19), (2, 32), (8))
((1, 19), (2, 33), (6))
((1, 19), (2, 39), (21))
((1, 19), (2, 44), (25))
((1, 19), (2, 45), (24))
((1, 19), (2, 48), (34))
((1, 19), (2, 49), (38))
((1, 19), (2, 50), (36))
((1, 19), (2, 52), (43))
((1, 19), (2, 53), (41))
((1, 19), (2, 6), (92))
((1, 19), (2, 8), (93))
((1, 2), (2, 1), (28))
((1, 2), (2, 11), (12))
((1, 2), (2, 19), (20))
((1, 2), (2, 2), (27))
((1, 2), (2, 20), (19))
((1, 2), (2, 24), (31))
((1, 2), (2, 26), (33))
((1, 2), (2, 28), (51))
((1, 2), (2, 30), (56))
((1, 2), (2, 31), (60))
((1, 2), (2, 32), (61))
((1, 2), (2, 33), (63))
((1, 2), (2, 39), (90))
((1, 2), (2, 44), (94))
((1, 2), (2, 45), (93))
((1, 2), (2, 48), (103))
((1, 2), (2, 49), (107))
((1, 2), (2, 50), (105))
((1, 2), (2, 52), (112))
((1, 2), (2, 53), (110))
((1, 2), (2, 6), (23))
((1, 2), (2, 8), (24))
((1, 20), (2, 1), (141))
((1, 20), (2, 11), (125))
((1, 20), (2, 19), (93))
((1, 20), (2, 2), (140))
((1, 20), (2, 20), (94))
((1, 20), (2, 24), (82))
((1, 20), (2, 26), (80))
((1, 20), (2, 28), (62))
((1, 20), (2, 30), (57))
((1, 20), (2, 31), (53))
((1, 20), (2, 32), (52))
((1, 20), (2, 33), (50))
((1, 20), (2, 39), (23))
((1, 20), (2, 44), (19))
((1, 20), (2, 45), (20))
((1, 20), (2, 48), (10))
((1, 20), (2, 49), (6))
((1, 20), (2, 50), (8))
((1, 20), (2, 52), (1))
((1, 20), (2, 53), (3))
((1, 20), (2, 6), (136))
((1, 20), (2, 8), (137))
((1, 21), (2, 1), (122))
((1, 21), (2, 11), (106))
((1, 21), (2, 19), (74))
((1, 21), (2, 2), (121))
((1, 21), (2, 20), (75))
((1, 21), (2, 24), (63))
((1, 21), (2, 26), (61))
((1, 21), (2, 28), (43))
((1, 21), (2, 30), (38))
((1, 21), (2, 31), (34))
((1, 21), (2, 32), (33))
((1, 21), (2, 33), (31))
((1, 21), (2, 39), (4))
((1, 21), (2, 44), (4))
((1, 21), (2, 45), (1))
((1, 21), (2, 48), (9))
((1, 21), (2, 49), (13))
((1, 21), (2, 50), (11))
((1, 21), (2, 52), (18))
((1, 21), (2, 53), (16))
((1, 21), (2, 6), (117))
((1, 21), (2, 8), (118))
((1, 23), (2, 1), (115))
((1, 23), (2, 11), (99))
((1, 23), (2, 19), (67))
((1, 23), (2, 2), (114))
((1, 23), (2, 20), (68))
((1, 23), (2, 24), (56))
((1, 23), (2, 26), (54))
((1, 23), (2, 28), (36))
((1, 23), (2, 30), (31))
((1, 23), (2, 31), (27))
((1, 23), (2, 32), (26))
((1, 23), (2, 33), (24))
((1, 23), (2, 39), (3))
