Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)
((12, 15), (13, 35 ), (301))
((12, 15), (13, 4 ), (278))
((12, 15), (13, 5 ), (272))
((12, 15), (13, 6 ), (256))
((12, 15), (13, 7 ), (256))
((12, 15), (13, 8 ), (252))
((12, 15), (13, 9 ), (210))
((12, 15), (14, 10 ), (175))
((12, 15), (14, 17 ), (28))
((12, 15), (14, 18 ), (38))
((12, 15), (14, 19 ), (36))
((12, 15), (14, 20 ), (51))
((12, 15), (14, 22 ), (55))
((12, 15), (14, 24 ), (105))
((12, 15), (14, 25 ), (99))
((12, 15), (14, 26 ), (112))
((12, 15), (14, 29 ), (130))
((12, 15), (14, 3 ), (175))
((12, 15), (14, 31 ), (167))
((12, 15), (14, 32 ), (174))
((12, 15), (14, 33 ), (189))
((12, 15), (14, 38 ), (246))
((12, 15), (14, 42 ), (254))
((12, 15), (14, 46 ), (271))
((12, 15), (14, 47 ), (282))
((12, 15), (14, 49 ), (299))
((12, 15), (14, 9 ), (176))
((12, 17), (13, 10 ), (144))
((12, 17), (13, 11 ), (205))
((12, 17), (13, 13 ), (181))
((12, 17), (13, 14 ), (181))
((12, 17), (13, 15 ), (170))
((12, 17), (13, 16 ), (156))
((12, 17), (13, 17 ), (41))
((12, 17), (13, 18 ), (30))
((12, 17), (13, 19 ), (4))
((12, 17), (13, 2 ), (337))
((12, 17), (13, 20 ), (78))
((12, 17), (13, 21 ), (93))
((12, 17), (13, 22 ), (132))
((12, 17), (13, 23 ), (149))
((12, 17), (13, 24 ), (140))
((12, 17), (13, 25 ), (161))
((12, 17), (13, 26 ), (162))
((12, 17), (13, 27 ), (221))
((12, 17), (13, 28 ), (235))
((12, 17), (13, 29 ), (235))
((12, 17), (13, 3 ), (299))
((12, 17), (13, 30 ), (245))
((12, 17), (13, 31 ), (247))
((12, 17), (13, 32 ), (281))
((12, 17), (13, 33 ), (269))
((12, 17), (13, 34 ), (270))
((12, 17), (13, 35 ), (282))
((12, 17), (13, 4 ), (297))
((12, 17), (13, 5 ), (291))
((12, 17), (13, 6 ), (275))
((12, 17), (13, 7 ), (275))
((12, 17), (13, 8 ), (271))
((12, 17), (13, 9 ), (229))
((12, 17), (14, 10 ), (194))
((12, 17), (14, 17 ), (9))
((12, 17), (14, 18 ), (19))
((12, 17), (14, 19 ), (17))
((12, 17), (14, 20 ), (32))
((12, 17), (14, 22 ), (36))
((12, 17), (14, 24 ), (86))
((12, 17), (14, 25 ), (80))
((12, 17), (14, 26 ), (93))
((12, 17), (14, 29 ), (111))
((12, 17), (14, 3 ), (194))
((12, 17), (14, 31 ), (148))
((12, 17), (14, 32 ), (155))
((12, 17), (14, 33 ), (170))
((12, 17), (14, 38 ), (227))
((12, 17), (14, 42 ), (235))
((12, 17), (14, 46 ), (252))
((12, 17), (14, 47 ), (263))
((12, 17), (14, 49 ), (280))
((12, 17), (14, 9 ), (195))
((12, 18), (13, 10 ), (195))
((12, 18), (13, 11 ), (256))
((12, 18), (13, 13 ), (232))
((12, 18), (13, 14 ), (232))
((12, 18), (13, 15 ), (221))
((12, 18), (13, 16 ), (207))
((12, 18), (13, 17 ), (92))
((12, 18), (13, 18 ), (81))
((12, 18), (13, 19 ), (47))
((12, 18), (13, 2 ), (388))
((12, 18), (13, 20 ), (27))
((12, 18), (13, 21 ), (42))
((12, 18), (13, 22 ), (81))
((12, 18), (13, 23 ), (98))
((12, 18), (13, 24 ), (89))
((12, 18), (13, 25 ), (110))
((12, 18), (13, 26 ), (111))
((12, 18), (13, 27 ), (170))
((12, 18), (13, 28 ), (184))
((12, 18), (13, 29 ), (184))
((12, 18), (13, 3 ), (350))
((12, 18), (13, 30 ), (194))
((12, 18), (13, 31 ), (196))
((12, 18), (13, 32 ), (230))
((12, 18), (13, 33 ), (218))
((12, 18), (13, 34 ), (219))
((12, 18), (13, 35 ), (231))
((12, 18), (13, 4 ), (348))
((12, 18), (13, 5 ), (342))
((12, 18), (13, 6 ), (326))
((12, 18), (13, 7 ), (326))
((12, 18), (13, 8 ), (322))
((12, 18), (13, 9 ), (280))
((12, 18), (14, 10 ), (245))
((12, 18), (14, 17 ), (42))
((12, 18), (14, 18 ), (32))
((12, 18), (14, 19 ), (34))
((12, 18), (14, 20 ), (19))
((12, 18), (14, 22 ), (15))
((12, 18), (14, 24 ), (35))
((12, 18), (14, 25 ), (29))
((12, 18), (14, 26 ), (42))
((12, 18), (14, 29 ), (60))
((12, 18), (14, 3 ), (245))
((12, 18), (14, 31 ), (97))
((12, 18), (14, 32 ), (104))
((12, 18), (14, 33 ), (119))
((12, 18), (14, 38 ), (176))
((12, 18), (14, 42 ), (184))
((12, 18), (14, 46 ), (201))
((12, 18), (14, 47 ), (212))
((12, 18), (14, 49 ), (229))
((12, 18), (14, 9 ), (246))
((12, 19), (13, 10 ), (230))
((12, 19), (13, 11 ), (291))
((12, 19), (13, 13 ), (267))
((12, 19), (13, 14 ), (267))
((12, 19), (13, 15 ), (256))
((12, 19), (13, 16 ), (242))
((12, 19), (13, 17 ), (127))
((12, 19), (13, 18 ), (116))
((12, 19), (13, 19 ), (82))
((12, 19), (13, 2 ), (423))
((12, 19), (13, 20 ), (8))
((12, 19), (13, 21 ), (7))
((12, 19), (13, 22 ), (46))
((12, 19), (13, 23 ), (63))
((12, 19), (13, 24 ), (54))
((12, 19), (13, 25 ), (75))
((12, 19), (13, 26 ), (76))
((12, 19), (13, 27 ), (135))
((12, 19), (13, 28 ), (149))
((12, 19), (13, 29 ), (149))
((12, 19), (13, 3 ), (385))
((12, 19), (13, 30 ), (159))
((12, 19), (13, 31 ), (161))
((12, 19), (13, 32 ), (195))
((12, 19), (13, 33 ), (183))
((12, 19), (13, 34 ), (184))
((12, 19), (13, 35 ), (196))
((12, 19), (13, 4 ), (383))
((12, 19), (13, 5 ), (377))
((12, 19), (13, 6 ), (361))
((12, 19), (13, 7 ), (361))
((12, 19), (13, 8 ), (357))
((12, 19), (13, 9 ), (315))
((12, 19), (14, 10 ), (280))
((12, 19), (14, 17 ), (77))
((12, 19), (14, 18 ), (67))
((12, 19), (14, 19 ), (69))
((12, 19), (14, 20 ), (54))
((12, 19), (14, 22 ), (50))
((12, 19), (14, 24 ), (50))
((12, 19), (14, 25 ), (6))
((12, 19), (14, 26 ), (7))
((12, 19), (14, 29 ), (25))
((12, 19), (14, 3 ), (280))
((12, 19), (14, 31 ), (62))
((12, 19), (14, 32 ), (69))
((12, 19), (14, 33 ), (84))
((12, 19), (14, 38 ), (141))
((12, 19), (14, 42 ), (149))
((12, 19), (14, 46 ), (166))
((12, 19), (14, 47 ), (177))
((12, 19), (14, 49 ), (194))
((12, 19), (14, 9 ), (281))
((12, 20), (13, 10 ), (283))
((12, 20), (13, 11 ), (344))
((12, 20), (13, 13 ), (320))
((12, 20), (13, 14 ), (320))
((12, 20), (13, 15 ), (309))
((12, 20), (13, 16 ), (295))
((12, 20), (13, 17 ), (180))
((12, 20), (13, 18 ), (169))
((12, 20), (13, 19 ), (135))
((12, 20), (13, 2 ), (476))
((12, 20), (13, 20 ), (61))
((12, 20), (13, 21 ), (46))
((12, 20), (13, 22 ), (7))
((12, 20), (13, 23 ), (10))
((12, 20), (13, 24 ), (1))
((12, 20), (13, 25 ), (22))
((12, 20), (13, 26 ), (23))
((12, 20), (13, 27 ), (82))
((12, 20), (13, 28 ), (96))
((12, 20), (13, 29 ), (96))
((12, 20), (13, 3 ), (438))
((12, 20), (13, 30 ), (106))
((12, 20), (13, 31 ), (108))
((12, 20), (13, 32 ), (142))
((12, 20), (13, 33 ), (130))
((12, 20), (13, 34 ), (131))
((12, 20), (13, 35 ), (143))
((12, 20), (13, 4 ), (436))
((12, 20), (13, 5 ), (430))
((12, 20), (13, 6 ), (414))
((12, 20), (13, 7 ), (414))
((12, 20), (13, 8 ), (410))
((12, 20), (13, 9 ), (368))
((12, 20), (14, 10 ), (333))
((12, 20), (14, 17 ), (130))
((12, 20), (14, 18 ), (120))
((12, 20), (14, 19 ), (122))
((12, 20), (14, 20 ), (107))
((12, 20), (14, 22 ), (103))
((12, 20), (14, 24 ), (53))
((12, 20), (14, 25 ), (59))
((12, 20), (14, 26 ), (46))
((12, 20), (14, 29 ), (28))
((12, 20), (14, 3 ), (333))
((12, 20), (14, 31 ), (9))
((12, 20), (14, 32 ), (16))
((12, 20), (14, 33 ), (31))
((12, 20), (14, 38 ), (88))
((12, 20), (14, 42 ), (96))
((12, 20), (14, 46 ), (113))
((12, 20), (14, 47 ), (124))
((12, 20), (14, 49 ), (141))
((12, 20), (14, 9 ), (334))
((12, 21), (13, 10 ), (300))
((12, 21), (13, 11 ), (361))
((12, 21), (13, 13 ), (337))
((12, 21), (13, 14 ), (337))
((12, 21), (13, 15 ), (326))
((12, 21), (13, 16 ), (312))
((12, 21), (13, 17 ), (197))
((12, 21), (13, 18 ), (186))
((12, 21), (13, 19 ), (152))
((12, 21), (13, 2 ), (493))
((12, 21), (13, 20 ), (78))
((12, 21), (13, 21 ), (63))
((12, 21), (13, 22 ), (24))
((12, 21), (13, 23 ), (7))
((12, 21), (13, 24 ), (16))
((12, 21), (13, 25 ), (5))
((12, 21), (13, 26 ), (6))
((12, 21), (13, 27 ), (65))
((12, 21), (13, 28 ), (79))
((12, 21), (13, 29 ), (79))
((12, 21), (13, 3 ), (455))
((12, 21), (13, 30 ), (89))
((12, 21), (13, 31 ), (91))
((12, 21), (13, 32 ), (125))
((12, 21), (13, 33 ), (113))
((12, 21), (13, 34 ), (114))
((12, 21), (13, 35 ), (126))
((12, 21), (13, 4 ), (453))
((12, 21), (13, 5 ), (447))
((12, 21), (13, 6 ), (431))
((12, 21), (13, 7 ), (431))
((12, 21), (13, 8 ), (427))
((12, 21), (13, 9 ), (385))
((12, 21), (14, 10 ), (350))
((12, 21), (14, 17 ), (147))
((12, 21), (14, 18 ), (137))
((12, 21), (14, 19 ), (139))
((12, 21), (14, 20 ), (124))
((12, 21), (14, 22 ), (120))
((12, 21), (14, 24 ), (70))
((12, 21), (14, 25 ), (76))
((12, 21), (14, 26 ), (63))
((12, 21), (14, 29 ), (45))
((12, 21), (14, 3 ), (350))
((12, 21), (14, 31 ), (8))
((12, 21), (14, 32 ), (1))
((12, 21), (14, 33 ), (14))
((12, 21), (14, 38 ), (71))
((12, 21), (14, 42 ), (79))
((12, 21), (14, 46 ), (96))
((12, 21), (14, 47 ), (107))
((12, 21), (14, 49 ), (124))
((12, 21), (14, 9 ), (351))
((12, 22), (13, 10 ), (315))
((12, 22), (13, 11 ), (376))
((12, 22), (13, 13 ), (352))
((12, 22), (13, 14 ), (352))
((12, 22), (13, 15 ), (341))
((12, 22), (13, 16 ), (327))
((12, 22), (13, 17 ), (212))
((12, 22), (13, 18 ), (201))
((12, 22), (13, 19 ), (167))
((12, 22), (13, 2 ), (508))
((12, 22), (13, 20 ), (93))
((12, 22), (13, 21 ), (78))
((12, 22), (13, 22 ), (39))
((12, 22), (13, 23 ), (22))
((12, 22), (13, 24 ), (31))
((12, 22), (13, 25 ), (10))
((12, 22), (13, 26 ), (9))
((12, 22), (13, 27 ), (50))
((12, 22), (13, 28 ), (64))
((12, 22), (13, 29 ), (64))
((12, 22), (13, 3 ), (470))
((12, 22), (13, 30 ), (74))
((12, 22), (13, 31 ), (76))
((12, 22), (13, 32 ), (110))
((12, 22), (13, 33 ), (98))
((12, 22), (13, 34 ), (99))
((12, 22), (13, 35 ), (111))
((12, 22), (13, 4 ), (468))
((12, 22), (13, 5 ), (462))
((12, 22), (13, 6 ), (446))
((12, 22), (13, 7 ), (446))
((12, 22), (13, 8 ), (442))
((12, 22), (13, 9 ), (400))
((12, 22), (14, 10 ), (365))
((12, 22), (14, 17 ), (162))
((12, 22), (14, 18 ), (152))
((12, 22), (14, 19 ), (154))
((12, 22), (14, 20 ), (139))
((12, 22), (14, 22 ), (135))
((12, 22), (14, 24 ), (85))
((12, 22), (14, 25 ), (91))
((12, 22), (14, 26 ), (78))
((12, 22), (14, 29 ), (60))
((12, 22), (14, 3 ), (365))
((12, 22), (14, 31 ), (23))
((12, 22), (14, 32 ), (16))
((12, 22), (14, 33 ), (1))
((12, 22), (14, 38 ), (56))
((12, 22), (14, 42 ), (64))
((12, 22), (14, 46 ), (81))
((12, 22), (14, 47 ), (92))
((12, 22), (14, 49 ), (109))
((12, 22), (14, 9 ), (366))
((12, 23), (13, 10 ), (365))
((12, 23), (13, 11 ), (426))
((12, 23), (13, 13 ), (402))
((12, 23), (13, 14 ), (402))
((12, 23), (13, 15 ), (391))
((12, 23), (13, 16 ), (377))
((12, 23), (13, 17 ), (262))
((12, 23), (13, 18 ), (251))
((12, 23), (13, 19 ), (217))
((12, 23), (13, 2 ), (558))
((12, 23), (13, 20 ), (143))
((12, 23), (13, 21 ), (128))
((12, 23), (13, 22 ), (89))
((12, 23), (13, 23 ), (72))
((12, 23), (13, 24 ), (81))
((12, 23), (13, 25 ), (60))
((12, 23), (13, 26 ), (59))
((12, 23), (13, 27 ), (59))
((12, 23), (13, 28 ), (14))
((12, 23), (13, 29 ), (14))
((12, 23), (13, 3 ), (520))
((12, 23), (13, 30 ), (24))
((12, 23), (13, 31 ), (26))
((12, 23), (13, 32 ), (60))
((12, 23), (13, 33 ), (48))
((12, 23), (13, 34 ), (49))
((12, 23), (13, 35 ), (61))
((12, 23), (13, 4 ), (518))
((12, 23), (13, 5 ), (512))
((12, 23), (13, 6 ), (496))
((12, 23), (13, 7 ), (496))
((12, 23), (13, 8 ), (492))
((12, 23), (13, 9 ), (450))
((12, 23), (14, 10 ), (415))
((12, 23), (14, 17 ), (212))
((12, 23), (14, 18 ), (202))
((12, 23), (14, 19 ), (204))
((12, 23), (14, 20 ), (189))
((12, 23), (14, 22 ), (185))
((12, 23), (14, 24 ), (135))
((12, 23), (14, 25 ), (141))
((12, 23), (14, 26 ), (128))
((12, 23), (14, 29 ), (110))
((12, 23), (14, 3 ), (415))
((12, 23), (14, 31 ), (73))
((12, 23), (14, 32 ), (66))
((12, 23), (14, 33 ), (51))
((12, 23), (14, 38 ), (6))
((12, 23), (14, 42 ), (14))
((12, 23), (14, 46 ), (31))
((12, 23), (14, 47 ), (42))
((12, 23), (14, 49 ), (59))
((12, 23), (14, 9 ), (416))
((12, 25), (13, 10 ), (408))
((12, 25), (13, 11 ), (469))
((12, 25), (13, 13 ), (445))
((12, 25), (13, 14 ), (445))
((12, 25), (13, 15 ), (434))
((12, 25), (13, 16 ), (420))
((12, 25), (13, 17 ), (305))
((12, 25), (13, 18 ), (294))
((12, 25), (13, 19 ), (260))
((12, 25), (13, 2 ), (601))
((12, 25), (13, 20 ), (186))
((12, 25), (13, 21 ), (171))
((12, 25), (13, 22 ), (132))
((12, 25), (13, 23 ), (115))
((12, 25), (13, 24 ), (124))
((12, 25), (13, 25 ), (103))
((12, 25), (13, 26 ), (102))
((12, 25), (13, 27 ), (43))
((12, 25), (13, 28 ), (29))
((12, 25), (13, 29 ), (29))
((12, 25), (13, 3 ), (563))
((12, 25), (13, 30 ), (19))
((12, 25), (13, 31 ), (17))
((12, 25), (13, 32 ), (17))
((12, 25), (13, 33 ), (5))
((12, 25), (13, 34 ), (6))
((12, 25), (13, 35 ), (18))
((12, 25), (13, 4 ), (561))
((12, 25), (13, 5 ), (555))
((12, 25), (13, 6 ), (539))
((12, 25), (13, 7 ), (539))
((12, 25), (13, 8 ), (535))
((12, 25), (13, 9 ), (493))
((12, 25), (14, 10 ), (458))
((12, 25), (14, 17 ), (255))
((12, 25), (14, 18 ), (245))
((12, 25), (14, 19 ), (247))
((12, 25), (14, 20 ), (232))
((12, 25), (14, 22 ), (228))
((12, 25), (14, 24 ), (178))
((12, 25), (14, 25 ), (184))
((12, 25), (14, 26 ), (171))
((12, 25), (14, 29 ), (153))
((12, 25), (14, 3 ), (458))
((12, 25), (14, 31 ), (116))
((12, 25), (14, 32 ), (109))
((12, 25), (14, 33 ), (94))
((12, 25), (14, 38 ), (37))
((12, 25), (14, 42 ), (29))
((12, 25), (14, 46 ), (12))
((12, 25), (14, 47 ), (1))
((12, 25), (14, 49 ), (16))
((12, 25), (14, 9 ), (459))
((12, 26), (13, 10 ), (419))
((12, 26), (13, 11 ), (480))
((12, 26), (13, 13 ), (456))
((12, 26), (13, 14 ), (456))
((12, 26), (13, 15 ), (445))
((12, 26), (13, 16 ), (431))
((12, 26), (13, 17 ), (316))
((12, 26), (13, 18 ), (305))
((12, 26), (13, 19 ), (271))
((12, 26), (13, 2 ), (612))
((12, 26), (13, 20 ), (197))
((12, 26), (13, 21 ), (182))
((12, 26), (13, 22 ), (143))
((12, 26), (13, 23 ), (126))
((12, 26), (13, 24 ), (135))
((12, 26), (13, 25 ), (114))
((12, 26), (13, 26 ), (113))
((12, 26), (13, 27 ), (54))
((12, 26), (13, 28 ), (40))
((12, 26), (13, 29 ), (40))
((12, 26), (13, 3 ), (574))
((12, 26), (13, 30 ), (30))
((12, 26), (13, 31 ), (28))
((12, 26), (13, 32 ), (6))
((12, 26), (13, 33 ), (6))
((12, 26), (13, 34 ), (5))
((12, 26), (13, 35 ), (7))
((12, 26), (13, 4 ), (572))
((12, 26), (13, 5 ), (566))
((12, 26), (13, 6 ), (550))
((12, 26), (13, 7 ), (550))
((12, 26), (13, 8 ), (546))
((12, 26), (13, 9 ), (504))
((12, 26), (14, 10 ), (469))
((12, 26), (14, 17 ), (266))
((12, 26), (14, 18 ), (256))
((12, 26), (14, 19 ), (258))
((12, 26), (14, 20 ), (243))
((12, 26), (14, 22 ), (239))
((12, 26), (14, 24 ), (189))
((12, 26), (14, 25 ), (195))
((12, 26), (14, 26 ), (182))
((12, 26), (14, 29 ), (164))
((12, 26), (14, 3 ), (469))
((12, 26), (14, 31 ), (127))
((12, 26), (14, 32 ), (120))
((12, 26), (14, 33 ), (105))
((12, 26), (14, 38 ), (48))
((12, 26), (14, 42 ), (40))
((12, 26), (14, 46 ), (23))
((12, 26), (14, 47 ), (12))
((12, 26), (14, 49 ), (5))
((12, 26), (14, 9 ), (470))
((12, 6), (13, 10 ), (127))
((12, 6), (13, 11 ), (66))
((12, 6), (13, 13 ), (90))
((12, 6), (13, 14 ), (90))
((12, 6), (13, 15 ), (101))
((12, 6), (13, 16 ), (115))
((12, 6), (13, 17 ), (230))
((12, 6), (13, 18 ), (241))
((12, 6), (13, 19 ), (275))
((12, 6), (13, 2 ), (66))
((12, 6), (13, 20 ), (349))
((12, 6), (13, 21 ), (364))
((12, 6), (13, 22 ), (403))
((12, 6), (13, 23 ), (420))
((12, 6), (13, 24 ), (411))
((12, 6), (13, 25 ), (432))
((12, 6), (13, 26 ), (433))
((12, 6), (13, 27 ), (492))
((12, 6), (13, 28 ), (506))
((12, 6), (13, 29 ), (506))
((12, 6), (13, 3 ), (28))
((12, 6), (13, 30 ), (516))
((12, 6), (13, 31 ), (518))
((12, 6), (13, 32 ), (552))
((12, 6), (13, 33 ), (540))
((12, 6), (13, 34 ), (541))
((12, 6), (13, 35 ), (553))
((12, 6), (13, 4 ), (26))
((12, 6), (13, 5 ), (20))
((12, 6), (13, 6 ), (4))
((12, 6), (13, 7 ), (4))
((12, 6), (13, 8 ), (4))
((12, 6), (13, 9 ), (42))
((12, 6), (14, 10 ), (77))
((12, 6), (14, 17 ), (280))
((12, 6), (14, 18 ), (290))
((12, 6), (14, 19 ), (288))
((12, 6), (14, 20 ), (303))
((12, 6), (14, 22 ), (307))
((12, 6), (14, 24 ), (357))
((12, 6), (14, 25 ), (351))
((12, 6), (14, 26 ), (364))
((12, 6), (14, 29 ), (382))
((12, 6), (14, 3 ), (77))
((12, 6), (14, 31 ), (419))
((12, 6), (14, 32 ), (426))
((12, 6), (14, 33 ), (441))
((12, 6), (14, 38 ), (498))
((12, 6), (14, 42 ), (506))
((12, 6), (14, 46 ), (523))
((12, 6), (14, 47 ), (534))
((12, 6), (14, 49 ), (551))
((12, 6), (14, 9 ), (76))
((12, 7), (13, 10 ), (103))
((12, 7), (13, 11 ), (42))
((12, 7), (13, 13 ), (66))
((12, 7), (13, 14 ), (66))
((12, 7), (13, 15 ), (77))
((12, 7), (13, 16 ), (91))
((12, 7), (13, 17 ), (206))
((12, 7), (13, 18 ), (217))
((12, 7), (13, 19 ), (251))
((12, 7), (13, 2 ), (90))
((12, 7), (13, 20 ), (325))
((12, 7), (13, 21 ), (340))
((12, 7), (13, 22 ), (379))
((12, 7), (13, 23 ), (396))
((12, 7), (13, 24 ), (387))
((12, 7), (13, 25 ), (408))
((12, 7), (13, 26 ), (409))
((12, 7), (13, 27 ), (468))
((12, 7), (13, 28 ), (482))
((12, 7), (13, 29 ), (482))
((12, 7), (13, 3 ), (52))
((12, 7), (13, 30 ), (492))
((12, 7), (13, 31 ), (494))
((12, 7), (13, 32 ), (528))
((12, 7), (13, 33 ), (516))
((12, 7), (13, 34 ), (517))
((12, 7), (13, 35 ), (529))
((12, 7), (13, 4 ), (50))
((12, 7), (13, 5 ), (44))
((12, 7), (13, 6 ), (28))
((12, 7), (13, 7 ), (28))
((12, 7), (13, 8 ), (24))
((12, 7), (13, 9 ), (18))
((12, 7), (14, 10 ), (53))
((12, 7), (14, 17 ), (256))
((12, 7), (14, 18 ), (266))
((12, 7), (14, 19 ), (264))
((12, 7), (14, 20 ), (279))
((12, 7), (14, 22 ), (283))
((12, 7), (14, 24 ), (333))
((12, 7), (14, 25 ), (327))
((12, 7), (14, 26 ), (340))
((12, 7), (14, 29 ), (358))
((12, 7), (14, 3 ), (53))
((12, 7), (14, 31 ), (395))
((12, 7), (14, 32 ), (402))
((12, 7), (14, 33 ), (417))
((12, 7), (14, 38 ), (474))
((12, 7), (14, 42 ), (482))
((12, 7), (14, 46 ), (499))
((12, 7), (14, 47 ), (510))
((12, 7), (14, 49 ), (527))
((12, 7), (14, 9 ), (52))
((12, 8), (13, 10 ), (102))
((12, 8), (13, 11 ), (41))
((12, 8), (13, 13 ), (65))
((12, 8), (13, 14 ), (65))
((12, 8), (13, 15 ), (76))
((12, 8), (13, 16 ), (90))
((12, 8), (13, 17 ), (205))
((12, 8), (13, 18 ), (216))
((12, 8), (13, 19 ), (250))
((12, 8), (13, 2 ), (91))
((12, 8), (13, 20 ), (324))
((12, 8), (13, 21 ), (339))
((12, 8), (13, 22 ), (378))
((12, 8), (13, 23 ), (395))
((12, 8), (13, 24 ), (386))
((12, 8), (13, 25 ), (407))
((12, 8), (13, 26 ), (408))
((12, 8), (13, 27 ), (467))
((12, 8), (13, 28 ), (481))
((12, 8), (13, 29 ), (481))
((12, 8), (13, 3 ), (53))
((12, 8), (13, 30 ), (491))
((12, 8), (13, 31 ), (493))
((12, 8), (13, 32 ), (527))
((12, 8), (13, 33 ), (515))
((12, 8), (13, 34 ), (516))
((12, 8), (13, 35 ), (528))
((12, 8), (13, 4 ), (51))
((12, 8), (13, 5 ), (45))
((12, 8), (13, 6 ), (29))
((12, 8), (13, 7 ), (29))
((12, 8), (13, 8 ), (25))
((12, 8), (13, 9 ), (17))
((12, 8), (14, 10 ), (52))
((12, 8), (14, 17 ), (255))
((12, 8), (14, 18 ), (265))
((12, 8), (14, 19 ), (263))
((12, 8), (14, 20 ), (278))
((12, 8), (14, 22 ), (282))
((12, 8), (14, 24 ), (332))
((12, 8), (14, 25 ), (326))
((12, 8), (14, 26 ), (339))
((12, 8), (14, 29 ), (357))
((12, 8), (14, 3 ), (52))
((12, 8), (14, 31 ), (394))
((12, 8), (14, 32 ), (401))
((12, 8), (14, 33 ), (416))
((12, 8), (14, 38 ), (473))
((12, 8), (14, 42 ), (481))
((12, 8), (14, 46 ), (498))
((12, 8), (14, 47 ), (509))
((12, 8), (14, 49 ), (526))
((12, 8), (14, 9 ), (51))
((12, 9), (13, 10 ), (43))
((12, 9), (13, 11 ), (18))
((12, 9), (13, 13 ), (6))
((12, 9), (13, 14 ), (6))
((12, 9), (13, 15 ), (17))
((12, 9), (13, 16 ), (31))
((12, 9), (13, 17 ), (146))
((12, 9), (13, 18 ), (157))
((12, 9), (13, 19 ), (191))
((12, 9), (13, 2 ), (150))
((12, 9), (13, 20 ), (265))
((12, 9), (13, 21 ), (280))
((12, 9), (13, 22 ), (319))
((12, 9), (13, 23 ), (336))
((12, 9), (13, 24 ), (327))
((12, 9), (13, 25 ), (348))
((12, 9), (13, 26 ), (349))
((12, 9), (13, 27 ), (408))
((12, 9), (13, 28 ), (422))
((12, 9), (13, 29 ), (422))
((12, 9), (13, 3 ), (112))
((12, 9), (13, 30 ), (432))
((12, 9), (13, 31 ), (434))
((12, 9), (13, 32 ), (468))
((12, 9), (13, 33 ), (456))
((12, 9), (13, 34 ), (457))
((12, 9), (13, 35 ), (469))
((12, 9), (13, 4 ), (110))
((12, 9), (13, 5 ), (104))
((12, 9), (13, 6 ), (88))
((12, 9), (13, 7 ), (88))
((12, 9), (13, 8 ), (84))
((12, 9), (13, 9 ), (42))
((12, 9), (14, 10 ), (7))
((12, 9), (14, 17 ), (196))
((12, 9), (14, 18 ), (206))
((12, 9), (14, 19 ), (204))
((12, 9), (14, 20 ), (219))
((12, 9), (14, 22 ), (223))
((12, 9), (14, 24 ), (273))
((12, 9), (14, 25 ), (267))
((12, 9), (14, 26 ), (280))
((12, 9), (14, 29 ), (298))
((12, 9), (14, 3 ), (7))
((12, 9), (14, 31 ), (335))
((12, 9), (14, 32 ), (342))
((12, 9), (14, 33 ), (357))
((12, 9), (14, 38 ), (414))
((12, 9), (14, 42 ), (422))
((12, 9), (14, 46 ), (439))
((12, 9), (14, 47 ), (450))
((12, 9), (14, 49 ), (467))
((12, 9), (14, 9 ), (8))
((13, 10), (14, 10 ), (50))
((13, 10), (14, 17 ), (153))
((13, 10), (14, 18 ), (163))
((13, 10), (14, 19 ), (161))
((13, 10), (14, 20 ), (176))
((13, 10), (14, 22 ), (180))
((13, 10), (14, 24 ), (230))
((13, 10), (14, 25 ), (224))
((13, 10), (14, 26 ), (237))
((13, 10), (14, 29 ), (255))
((13, 10), (14, 3 ), (50))
((13, 10), (14, 31 ), (292))
((13, 10), (14, 32 ), (299))
((13, 10), (14, 33 ), (314))
((13, 10), (14, 38 ), (371))
((13, 10), (14, 42 ), (379))
((13, 10), (14, 46 ), (396))
((13, 10), (14, 47 ), (407))
((13, 10), (14, 49 ), (424))
((13, 10), (14, 9 ), (51))
((13, 11), (14, 10 ), (11))
((13, 11), (14, 17 ), (214))
((13, 11), (14, 18 ), (224))
((13, 11), (14, 19 ), (222))
((13, 11), (14, 20 ), (237))
((13, 11), (14, 22 ), (241))
((13, 11), (14, 24 ), (291))
((13, 11), (14, 25 ), (285))
((13, 11), (14, 26 ), (298))
((13, 11), (14, 29 ), (316))
((13, 11), (14, 3 ), (11))
((13, 11), (14, 31 ), (353))
((13, 11), (14, 32 ), (360))
((13, 11), (14, 33 ), (375))
((13, 11), (14, 38 ), (432))
((13, 11), (14, 42 ), (440))
((13, 11), (14, 46 ), (457))
((13, 11), (14, 47 ), (468))
((13, 11), (14, 49 ), (485))
((13, 11), (14, 9 ), (10))
((13, 13), (14, 10 ), (13))
((13, 13), (14, 17 ), (190))
((13, 13), (14, 18 ), (200))
((13, 13), (14, 19 ), (198))
((13, 13), (14, 20 ), (213))
((13, 13), (14, 22 ), (217))
((13, 13), (14, 24 ), (267))
((13, 13), (14, 25 ), (261))
((13, 13), (14, 26 ), (274))
((13, 13), (14, 29 ), (292))
((13, 13), (14, 3 ), (13))
((13, 13), (14, 31 ), (329))
((13, 13), (14, 32 ), (336))
((13, 13), (14, 33 ), (351))
((13, 13), (14, 38 ), (408))
((13, 13), (14, 42 ), (416))
((13, 13), (14, 46 ), (433))
((13, 13), (14, 47 ), (444))
((13, 13), (14, 49 ), (461))
