relations between the input/output regions of different cameras.


cam #, inout, cam #, inout
1, 1, 2, 1
2, 3, 11, 1
2, 4, 12, 1
2, 4, 13, 1
2, 2, 22, 2
2, 4, 14, 4
22, 1, 21, 3
22, 1, 21, 4
22, 1, 13, 4
22, 1, 11, 2
12, 1, 13, 1
12, 1, 14, 4
13, 4, 11, 2
13, 1, 14, 4
14, 1, 15, 1
14, 5, 17, 1
14, 5, 18, 1
17, 1, 18, 1
17, 3, 18, 3
17, 3, 19, 5
17, 3, 20, 3
18, 3, 19, 5
18, 3, 20, 3
19, 5, 20, 3
19, 1, 21, 1
20, 1, 21, 1
21, 3, 13, 4
21, 4, 13, 4
21, 3, 11, 2
21, 4, 11, 2
