(1, 2), (2, 4)      (1, 2)                  (1, 1)
(1, 3), (2, 5)      (1, 2)                  (1, 1)
(1, 4), (2, 8)      (1, 2)                  (4, 1)
(1, 5), (2, 10)     (1, 2)                  (3, 1)
(1, 6), (2, 11)     (2, 1)                  (1, 3)
(1, 8), (2, 12)     (1, 2)                  (3, 1)
(1, 7), (2, 16)     (2, 1)                  (1, 3)
(1, 13), (2, 15)    (1, 2)                  (3, 1)
(1, 14), (2, 13)    (1, 2)                  (3, 1)
(1, 9), (2, 17)     (2, 1)                  (1, 3)
(1, 11), (2, 18)    (2, 1)                  (1, 3)
(1, 12), (2, 19)    (2, 1)                  (1, 3)
(1, 10), (2, 20)    (2, 1)                  (1, 4)
(1, 15), (2, 25)    (2, 1)                  (1, 3)
(1, 16), (2, 23)    (1, 2)                  (3, 1)
(1, 17), (2, 22)    (1, 2)                  (3, 1)
(1, 19), (2, 26)    (1, 2)                  (4, 1)
(1, 18), (2, 28)    (2, 1)                  (1, 4)
(1, 20), (2, 41)    (2, 1)                  (1, 3)
(1, 23), (2, 32)    (1, 2)                  (4, 1)
(1, 21), (2, 36)    (2, 1)                  (1, 4)
(1, 22), (2, 37)    (2, 1)                  (1, 4)
(1, 24), (2, 35)    (1, 2)                  (3, 1)
(1, 26), (2, 34)    (1, 2)                  (3, 1)
(1, 25), (2, 30)    (1, 1)                  (3, 1)
(1, 27), (2, 29)    (1, 1)                  (3, 1)
(1, 28), (2, 42)    (2, 1)                  (1, 1)

(14, 10), (15, 2)   (1, 4)                  (6, 1)
(14, 18), (15, 4)   (4, 1)                  (1, 1)
(14, 20), (15, 5)   (4, 1)                  (1, 3)
(14, 22), (15, 4)   (1, 5)                  (1, 1)
(14, 24), (15, 6)   (4, 1)                  (1, 4)
(14, 26), (15, 7)   (4, 1)                  (1, 5)
(14, 31), (15, 8)   (1, 4)                  (4, 1)
(14, 32), (15, 9)   (4, 1)                  (1, 5)
(14, 33), (15, 11)  (4, 1)                  (1, 3)
(14, 38), (15, 12)  (1, 4)                  (5, 1)
(14, 42), (15, 14)  (6, 1)                  (1, 6)
(14, 47), (15, 15)  (4, 1)                  (1, 5)

(14, 1), (17, 4)    (4, 5)                  (1, 3)
(14, 4), (17, 5)    (5, 4)                  (3, 1)
(14, 6), (17, 2)    (5, 4)                  (3, 1)
