cam, id, frame_in, t_in, frame_out, t_out, x_in, x_out

1, 1, 0, 12, 27, 25, 251, 12, 27, 38, 0, 2
1, 10, 489, 12, 27, 52, 756, 12, 28, 7, 2, 1
1, 11, 400, 12, 27, 47, 735, 12, 28, 5, 2, 1
1, 12, 530, 12, 27, 54, 738, 12, 28, 6, 2, 1
1, 13, 550, 12, 27, 55, 899, 12, 28, 14, 1, 2
1, 14, 552, 12, 27, 55, 899, 12, 28, 14, 1, 2
1, 15, 899, 12, 28, 14, 1044, 12, 28, 23, 2, 1
1, 16, 1061, 12, 28, 23, 1297, 12, 28, 37, 1, 2
1, 17, 1071, 12, 28, 24, 1297, 12, 28, 37, 1, 2
1, 18, 1266, 12, 28, 35, 1363, 12, 28, 40, 2, 1
1, 19, 1267, 12, 28, 35, 1512, 12, 28, 49, 1, 2
1, 2, 20, 12, 27, 26, 298, 12, 27, 41, 1, 2
1, 20, 1541, 12, 28, 50, 2112, 12, 29, 22, 2, 1
1, 21, 1592, 12, 28, 53, 1775, 12, 29, 3, 2, 1
1, 23, 1618, 12, 28, 54, 1727, 12, 28, 60, 1, 2
1, 24, 1735, 12, 29, 1, 1868, 12, 29, 8, 1, 2
1, 25, 1873, 12, 29, 9, 1937, 12, 29, 12, 1, 1
1, 26, 1733, 12, 29, 1, 1959, 12, 29, 13, 1, 2
1, 27, 1875, 12, 29, 9, 1966, 12, 29, 14, 1, 1
1, 28, 2027, 12, 29, 17, 2122, 12, 29, 22, 2, 1
1, 29, 2163, 12, 29, 25, 2303, 12, 29, 32, 1, 1
1, 3, 30, 12, 27, 26, 298, 12, 27, 41, 1, 2
1, 30, 2161, 12, 29, 25, 2870, 12, 30, 4, 2, 2
1, 31, 2221, 12, 29, 28, 4217, 12, 31, 19, 1, 1
1, 32, 2248, 12, 29, 29, 2453, 12, 29, 41, 1, 2
1, 33, 2263, 12, 29, 30, 2379, 12, 29, 37, 1, 2
1, 34, 2349, 12, 29, 35, 2772, 12, 29, 59, 1, 2
1, 35, 2531, 12, 29, 45, 2734, 12, 29, 56, 1, 2
1, 36, 2539, 12, 29, 46, 2734, 12, 29, 56, 1, 2
1, 37, 2539, 12, 29, 46, 2724, 12, 29, 56, 2, 1
1, 38, 2650, 12, 29, 52, 2750, 12, 29, 57, 1, 2
1, 39, 2666, 12, 29, 53, 2750, 12, 29, 57, 1, 2
